timestamp,open,high,low,close,volume
2018-08-24,107.6700,108.5600,107.5600,108.4000,17187066
2018-08-23,107.1500,108.1800,106.8700,107.5600,18167723
2018-08-22,105.8500,107.3400,105.7800,107.0600,18000639
2018-08-21,106.9200,107.3500,105.8500,105.9800,22881861
2018-08-20,107.5100,107.9000,106.4800,106.8700,17914201
2018-08-17,107.3600,107.9000,106.6900,107.5800,18061512
2018-08-16,108.3000,108.8600,107.3000,107.6400,21384289
2018-08-15,108.4900,108.9850,106.8200,107.6600,29982806
2018-08-14,108.5600,109.7500,108.0400,109.5600,16788314
2018-08-13,109.2400,109.5800,108.1000,108.2100,18474884
2018-08-10,109.4200,109.6900,108.3800,109.0000,18183724
2018-08-09,109.7100,110.1600,109.6000,109.6700,13677211
2018-08-08,109.3300,109.7500,108.7599,109.4900,15487502
2018-08-07,108.5600,109.1000,108.1700,108.8800,16080214
2018-08-06,108.1200,108.4200,107.5590,108.1300,20265947
2018-08-03,107.8000,108.0500,106.8200,108.0400,18659599
2018-08-02,105.4000,108.0900,104.8400,107.5700,26104258
2018-08-01,106.0300,106.4460,105.4200,106.2800,23628699
2018-07-31,106.4900,106.7200,105.3800,106.0800,27655152
2018-07-30,107.1900,107.5300,104.7600,105.3700,34668327
2018-07-27,110.1800,110.1800,106.1400,107.6800,37005292
2018-07-26,110.7400,111.0000,109.5000,109.6200,31372110
2018-07-25,107.9550,111.1500,107.6000,110.8300,30798058
2018-07-24,108.5700,108.8200,107.2600,107.6600,26316619
2018-07-23,106.3000,108.1400,106.1300,107.9700,29706955
2018-07-20,108.0800,108.2000,106.0800,106.2700,56038827
2018-07-19,104.9300,105.3100,103.8900,104.4000,40171646
2018-07-18,105.9400,106.0500,104.7150,105.1200,29493927
2018-07-17,104.6100,106.5000,104.3200,105.9500,25901726
2018-07-16,105.4000,105.8200,104.5150,104.9100,21786912
2018-07-13,104.3700,105.6000,104.0900,105.4300,24653500
2018-07-12,102.7700,104.4100,102.7300,104.1900,24335929
2018-07-11,101.1500,102.3400,101.1000,101.9800,19644648
2018-07-10,102.0000,102.5100,101.8600,102.1200,19293140
2018-07-09,101.6452,102.2500,101.2510,101.8500,18211980
2018-07-06,99.8850,101.4300,99.6700,101.1600,19234627
2018-07-05,99.5000,99.9200,99.0299,99.7600,18977402
2018-07-03,100.4800,100.6300,98.9400,99.0500,14670275
2018-07-02,98.1000,100.0600,98.0000,100.0100,19564521
2018-06-29,98.9300,99.9100,98.3300,98.6100,28053214
2018-06-28,97.3800,99.1100,97.2600,98.6300,26650671
2018-06-27,99.5800,100.0200,97.4000,97.5400,31298386
2018-06-26,98.8200,100.0800,98.7500,99.0800,26897244
2018-06-25,100.0000,100.1100,97.3000,98.3900,35433333
2018-06-22,100.4100,100.7700,99.6250,100.4100,38923105
2018-06-21,102.0750,102.4600,100.8800,101.1400,23198188
2018-06-20,101.3700,102.5200,101.1200,101.8700,26180792
2018-06-19,99.6500,101.0000,99.5000,100.8600,28653087
2018-06-18,100.0100,101.1100,99.4200,100.8600,23586037
2018-06-15,101.5100,101.5300,100.0700,100.1300,65738585
2018-06-14,101.6500,102.0300,101.0000,101.4200,25691811
2018-06-13,101.7200,102.0100,100.5600,100.8500,29492875
2018-06-12,101.1000,101.4493,100.7500,101.3100,18325228
2018-06-11,101.3700,101.5900,100.6700,101.0500,23490894
2018-06-08,101.0924,101.9500,100.5400,101.6300,22165128
2018-06-07,102.6500,102.6900,100.3800,100.8800,28232197
2018-06-06,102.4800,102.6000,101.9000,102.4900,21122917
2018-06-05,102.0000,102.3300,101.5300,102.1900,23514402
2018-06-04,101.2600,101.8600,100.8510,101.6700,27281623
2018-06-01,99.2798,100.8600,99.1700,100.7900,28655624
2018-05-31,99.2900,99.9900,98.6100,98.8400,34140891
2018-05-30,98.3100,99.2500,97.9100,98.9500,22158528
2018-05-29,97.8400,98.8800,97.2300,98.0100,28670981
2018-05-25,98.3000,98.9800,97.8600,98.3600,18363918
2018-05-24,98.7250,98.9400,96.8100,98.3100,26649287
2018-05-23,96.7100,98.7300,96.3200,98.6600,21251222
2018-05-22,97.6800,98.1700,97.2000,97.5000,15441189
2018-05-21,97.0000,98.0100,96.8000,97.6000,19422467
2018-05-18,96.0100,96.9300,96.0100,96.3600,17865840
2018-05-17,96.7600,97.5401,95.8300,96.1800,17246716
2018-05-16,97.3600,97.4000,96.6150,97.1500,17384742
2018-05-15,97.2400,97.8500,96.3400,97.3200,24594010
2018-05-14,97.9200,98.6900,97.3100,98.0300,19454124
2018-05-11,97.8000,97.8700,97.0400,97.7000,16778316
2018-05-10,97.4600,97.9500,97.0500,97.9100,22388119
2018-05-09,96.0100,96.9700,95.0500,96.9400,27327410
2018-05-08,95.8456,96.1600,95.0631,95.8100,23484589
2018-05-07,95.1700,96.7100,95.1000,96.2200,24242019
2018-05-04,93.3200,95.3700,92.9200,95.1600,22531325
2018-05-03,92.9600,94.9250,92.4500,94.0700,31142497
2018-05-02,94.9900,95.1700,93.1900,93.5100,27471002
2018-05-01,93.2100,95.2900,92.7900,95.0000,31408927
2018-04-30,96.3300,96.3964,93.1500,93.5200,41523605
2018-04-27,97.6000,97.9000,93.9100,95.8200,48272780
2018-04-26,93.5500,95.1500,93.1000,94.2600,42529043
2018-04-25,93.3000,93.3000,90.2800,92.3100,33729257
2018-04-24,96.2420,96.4700,92.4100,93.1200,34524799
2018-04-23,95.7436,96.2900,94.6300,95.3500,22331829
2018-04-20,95.9100,96.1100,94.0500,95.0000,31154377
2018-04-19,96.4400,97.0700,95.3400,96.1100,23552541
2018-04-18,96.2200,96.7200,95.5200,96.4400,21043287
2018-04-17,95.0000,96.5400,94.8800,96.0700,26771000
2018-04-16,94.0700,94.6600,93.4200,94.1700,20288083
2018-04-13,94.0500,94.1800,92.4400,93.0800,23346063
2018-04-12,92.4300,94.1600,92.4300,93.5800,26758879
2018-04-11,92.0100,93.2900,91.4800,91.8600,24872110
2018-04-10,92.3900,93.2800,91.6400,92.8800,26939883
2018-04-09,91.0400,93.1700,90.6200,90.7700,31533943
2018-04-06,91.4900,92.4600,89.4800,90.2300,38026000
2018-04-05,92.4350,93.0650,91.4000,92.3800,29771881
