Timestamp,Open_Price,Close_Price,High_Price,Low_Price,Volume
1535083200,107.67,108.4,108.56,107.56,17187066
1534996800,107.15,107.56,108.18,106.87,18167723
1534910400,105.85,107.06,107.34,105.78,18000639
1534824000,106.92,105.98,107.35,105.85,22881861
1534737600,107.51,106.87,107.9,106.48,17914201
1534478400,107.36,107.58,107.9,106.69,18061512
1534392000,108.3,107.64,108.86,107.3,21384289
1534305600,108.49,107.66,108.985,106.82,29982806
1534219200,108.56,109.56,109.75,108.04,16788314
1534132800,109.24,108.21,109.58,108.1,18474884
1533873600,109.42,109,109.69,108.38,18183724
1533787200,109.71,109.67,110.16,109.6,13677211
1533700800,109.33,109.49,109.75,108.76,15487502
1533614400,108.56,108.88,109.1,108.17,16080214
1533528000,108.12,108.13,108.42,107.559,20265947
1533268800,107.8,108.04,108.05,106.82,18659599
1533182400,105.4,107.57,108.09,104.84,26104258
1533096000,106.03,106.28,106.446,105.42,23628699
1533009600,106.49,106.08,106.72,105.38,27655152
1532923200,107.19,105.37,107.53,104.76,34668327
1532664000,110.18,107.68,110.18,106.14,37005292
1532577600,110.74,109.62,111,109.5,31372110
1532491200,107.955,110.83,111.15,107.6,30798058
1532404800,108.57,107.66,108.82,107.26,26316619
1532318400,106.3,107.97,108.14,106.13,29706955
1532059200,108.08,106.27,108.2,106.08,56038827
1531972800,104.93,104.4,105.31,103.89,40171646
1531886400,105.94,105.12,106.05,104.715,29493927
1531800000,104.61,105.95,106.5,104.32,25901726
1531713600,105.4,104.91,105.82,104.515,21786912
1531454400,104.37,105.43,105.6,104.09,24653500
1531368000,102.77,104.19,104.41,102.73,24335929
1531281600,101.15,101.98,102.34,101.1,19644648
1531195200,102,102.12,102.51,101.86,19293140
1531108800,101.645,101.85,102.25,101.251,18211980
1530849600,99.885,101.16,101.43,99.67,19234627
1530763200,99.5,99.76,99.92,99.0299,18977402
1530590400,100.48,99.05,100.63,98.94,14670275
1530504000,98.1,100.01,100.06,98,19564521
1530244800,98.93,98.61,99.91,98.33,28053214
1530158400,97.38,98.63,99.11,97.26,26650671
1530072000,99.58,97.54,100.02,97.4,31298386
1529985600,98.82,99.08,100.08,98.75,26897244
1529899200,100,98.39,100.11,97.3,35433333
1529640000,100.41,100.41,100.77,99.625,38923105
1529553600,102.075,101.14,102.46,100.88,23198188
1529467200,101.37,101.87,102.52,101.12,26180792
1529380800,99.65,100.86,101,99.5,28653087
1529294400,100.01,100.86,101.11,99.42,23586037
1529035200,101.51,100.13,101.53,100.07,65738585
1528948800,101.65,101.42,102.03,101,25691811
1528862400,101.72,100.85,102.01,100.56,29492875
1528776000,101.1,101.31,101.449,100.75,18325228
1528689600,101.37,101.05,101.59,100.67,23490894
1528430400,101.092,101.63,101.95,100.54,22165128
1528344000,102.65,100.88,102.69,100.38,28232197
1528257600,102.48,102.49,102.6,101.9,21122917
1528171200,102,102.19,102.33,101.53,23514402
1528084800,101.26,101.67,101.86,100.851,27281623
1527825600,99.2798,100.79,100.86,99.17,28655624
1527739200,99.29,98.84,99.99,98.61,34140891
1527652800,98.31,98.95,99.25,97.91,22158528
1527566400,97.84,98.01,98.88,97.23,28670981
1527220800,98.3,98.36,98.98,97.86,18363918
1527134400,98.725,98.31,98.94,96.81,26649287
1527048000,96.71,98.66,98.73,96.32,21251222
1526961600,97.68,97.5,98.17,97.2,15441189
1526875200,97,97.6,98.01,96.8,19422467
1526616000,96.01,96.36,96.93,96.01,17865840
1526529600,96.76,96.18,97.5401,95.83,17246716
1526443200,97.36,97.15,97.4,96.615,17384742
1526356800,97.24,97.32,97.85,96.34,24594010
1526270400,97.92,98.03,98.69,97.31,19454124
1526011200,97.8,97.7,97.87,97.04,16778316
1525924800,97.46,97.91,97.95,97.05,22388119
1525838400,96.01,96.94,96.97,95.05,27327410
1525752000,95.8456,95.81,96.16,95.0631,23484589
1525665600,95.17,96.22,96.71,95.1,24242019
1525406400,93.32,95.16,95.37,92.92,22531325
1525320000,92.96,94.07,94.925,92.45,31142497
1525233600,94.99,93.51,95.17,93.19,27471002
1525147200,93.21,95,95.29,92.79,31408927
1525060800,96.33,93.52,96.3964,93.15,41523605
1524801600,97.6,95.82,97.9,93.91,48272780
1524715200,93.55,94.26,95.15,93.1,42529043
1524628800,93.3,92.31,93.3,90.28,33729257
1524542400,96.242,93.12,96.47,92.41,34524799
1524456000,95.7436,95.35,96.29,94.63,22331829
1524196800,95.91,95,96.11,94.05,31154377
1524110400,96.44,96.11,97.07,95.34,23552541
1524024000,96.22,96.44,96.72,95.52,21043287
1523937600,95,96.07,96.54,94.88,26771000
1523851200,94.07,94.17,94.66,93.42,20288083
1523592000,94.05,93.08,94.18,92.44,23346063
1523505600,92.43,93.58,94.16,92.43,26758879
1523419200,92.01,91.86,93.29,91.48,24872110
1523332800,92.39,92.88,93.28,91.64,26939883
1523246400,91.04,90.77,93.17,90.62,31533943
1522987200,91.49,90.23,92.46,89.48,38026000
1522900800,92.435,92.38,93.065,91.4,29771881
